COM,PMUN,PCAP,PTOT
Aulnois-sous-Laon,1422,31,1453
Les Autels,57,0,57
Autremencourt,169,3,172
Autreppes,178,4,182
Autreville,814,13,827
Azy-sur-Marne,389,2,391
Bagneux,69,1,70
Bancigny,26,0,26
Barenton-Bugny,555,8,563
Barenton-Cel,114,6,120
Barenton-sur-Serre,134,4,138
Barisis-aux-Bois,740,12,752
Barzy-en-Thiérache,330,2,332
Barzy-sur-Marne,384,6,390
Bassoles-Aulers,139,6,145
Bazoches-sur-Vesles,460,4,464
Beaumé,92,2,94
Beaumont-en-Beine,177,1,178
Beaurevoir,1424,19,1443
Beaurieux,844,10,854
Beautor,2699,28,2727
Beauvois-en-Vermandois,268,7,275
Becquigny,250,7,257
Belleau,136,4,140
Bellenglise,381,9,390
Belleu,3810,51,3861
Bellicourt,602,12,614
Benay,204,2,206
Bergues-sur-Sambre,213,6,219
Berlancourt,103,5,108
Berlise,111,2,113
Bernot,452,12,464
Berny-Rivière,651,16,667
Berrieux,188,1,189
Berry-au-Bac,653,5,658
Bertaucourt-Epourdon,604,10,614
Berthenicourt,199,2,201
Bertricourt,162,3,165
Berzy-le-Sec,385,9,394
Besmé,160,2,162
Besmont,152,0,152
Besny-et-Loizy,350,10,360
Béthancourt-en-Vaux,440,8,448
Beugneux,111,0,111
Beuvardes,749,15,764
Bézu-le-Guéry,260,5,265
Bézu-Saint-Germain,1043,26,1069
Bichancourt,1048,10,1058
Bieuxy,30,1,31
Bièvres,88,3,91
Billy-sur-Aisne,1154,21,1175
Billy-sur-Ourcq,213,10,223
Blanzy-lès-Fismes,106,1,107
Blérancourt,1290,58,1348
Blesmes,447,9,456
Bohain-en-Vermandois,5664,90,5754
Bois-lès-Pargny,201,3,204
Boncourt,259,2,261
Bonneil,375,14,389
Bonnesvalyn,236,5,241
Bony,137,1,138
Bosmont-sur-Serre,193,5,198
Bouconville-Vauclair,187,6,193
Boué,1324,15,1339
Bouffignereux,102,4,106
Bouresches,202,5,207
Bourg-et-Comin,822,11,833
Bourguignon-sous-Coucy,103,4,107
Bourguignon-sous-Montbavin,158,4,162
La Bouteille,486,10,496
Braine,2213,25,2238
Brancourt-en-Laonnois,708,12,720
Brancourt-le-Grand,565,13,578
Brasles,1529,36,1565
Bray-Saint-Christophe,67,0,67
Braye,121,2,123
Braye-en-Laonnois,203,6,209
Braye-en-Thiérache,146,1,147
Brécy,340,7,347
Brenelle,195,4,199
Breny,244,4,248
Brie,53,2,55
Brissay-Choigny,303,6,309
Brissy-Hamégicourt,653,10,663
Brumetz,213,3,216
Brunehamel,456,5,461
Bruyères-et-Montbérault,1532,36,1568
Bruyères-sur-Fère,189,5,194
Bruys,19,0,19
Bucilly,193,7,200
Bucy-le-Long,1880,42,1922
Bucy-lès-Cerny,203,3,206
Bucy-lès-Pierrepont,411,6,417
Buire,869,17,886
Buironfosse,1168,16,1184
Burelles,128,4,132
Bussiares,152,0,152
Buzancy,190,2,192
Caillouël-Crépigny,438,8,446
Camelin,454,7,461
La Capelle,1788,79,1867
Castres,244,5,249
Le Catelet,192,6,198
Caulaincourt,145,3,148
Caumont,546,18,564
Celles-lès-Condé,87,1,88
Celles-sur-Aisne,258,2,260
Cerizy,67,0,67
Cerny-en-Laonnois,64,0,64
Cerny-lès-Bucy,115,3,118
Cerseuil,89,1,90
Cessières-Suzy,763,20,783
Chacrise,361,7,368
Chaillevois,174,5,179
Chalandry,253,1,254
Chambry,848,12,860
Chamouille,284,2,286
Champs,280,3,283
Chaourse,539,11,550
La Chapelle-sur-Chézy,278,5,283
Charly-sur-Marne,2617,42,2659
Le Charmel,316,7,323
Charmes,1652,28,1680
Chartèves,352,9,361
Chassemy,881,14,895
Château-Thierry,15107,379,15486
Châtillon-lès-Sons,83,0,83
Châtillon-sur-Oise,127,3,130
Chaudardes,87,1,88
Chaudun,249,10,259
Chauny,11878,439,12317
Chavignon,818,24,842
Chavigny,150,4,154
Chavonne,205,3,208
Chérêt,142,2,144
Chermizy-Ailles,106,2,108
Chéry-Chartreuve,392,10,402
Chéry-lès-Pouilly,710,8,718
Chéry-lès-Rozoy,80,1,81
Chevennes,125,3,128
Chevregny,187,1,188
Chevresis-Monceau,355,5,360
Chézy-en-Orxois,404,15,419
Chézy-sur-Marne,1353,45,1398
Chierry,1109,15,1124
Chigny,149,4,153
Chivres-en-Laonnois,362,8,370
Chivres-Val,530,12,542
Chivy-lès-Étouvelles,510,5,515
Chouy,370,7,377
Cierges,66,1,67
Cilly,193,8,201
Ciry-Salsogne,930,9,939
Clacy-et-Thierret,314,7,321
Clairfontaine,552,86,638
Clamecy,228,2,230
Clastres,635,9,644
Clermont-les-Fermes,120,1,121
Coincy,1310,19,1329
Coingt,68,1,69
Colligis-Crandelain,248,3,251
Colonfay,78,3,81
Commenchon,214,3,217
Concevreux,278,5,283
Condé-en-Brie,685,10,695
Condé-sur-Aisne,360,6,366
Condé-sur-Suippe,285,3,288
Condren,707,11,718
Connigis,332,2,334
Contescourt,61,1,62
Corbeny,801,6,807
Corcy,306,4,310
Coucy-la-Ville,219,70,289
Coucy-le-Château-Auffrique,1014,17,1031
Coucy-lès-Eppes,624,12,636
Coulonges-Cohan,436,15,451
Coupru,149,5,154
Courbes,31,0,31
Courboin,300,12,312
Courcelles-sur-Vesle,350,4,354
Courchamps,88,2,90
Courmelles,1826,30,1856
Courmont,133,1,134
Courtemont-Varennes,333,6,339
Courtrizy-et-Fussigny,66,1,67
Couvrelles,188,11,199
Couvron-et-Aumencourt,938,9,947
