COM,PMUN,PCAP,PTOT
Orbais-l'Abbaye,561,3,564
Orconte,384,5,389
Ormes,436,3,439
Outines,134,5,139
Outrepont,84,2,86
Oyes,86,3,89
Pargny-lès-Reims,462,10,472
Pargny-sur-Saulx,1855,21,1876
Passavant-en-Argonne,209,1,210
Passy-Grigny,380,14,394
Péas,67,3,70
Les Petites-Loges,482,7,489
Pévy,204,3,207
Pierre-Morains,91,2,93
Pierry,1181,26,1207
Pleurs,856,19,875
Plichancourt,244,3,247
Plivot,748,21,769
Pocancy,168,2,170
Pogny,916,18,934
Poilly,96,3,99
Poix,71,1,72
Pomacle,454,7,461
Pontfaverger-Moronvilliers,1753,18,1771
Ponthion,109,1,110
Possesse,159,0,159
Potangis,131,0,131
Pouillon,494,8,502
Pourcy,193,1,194
Pringy,417,8,425
Prosnes,490,2,492
Prouilly,560,4,564
Prunay,1032,26,1058
Puisieulx,415,8,423
Queudes,100,2,102
Rapsécourt,36,1,37
Recy,1031,30,1061
Reims,182460,3116,185576
Reims-la-Brûlée,228,3,231
Remicourt,57,1,58
Reuil,277,19,296
Reuves,71,0,71
Réveillon,106,1,107
Rieux,198,5,203
Rilly-la-Montagne,988,21,1009
Les Rivières-Henruel,180,3,183
Romain,315,18,333
Romery,157,2,159
Romigny,213,5,218
Rosnay,354,9,363
Rouffy,113,6,119
Rouvroy-Ripont,8,0,8
Sacy,371,3,374
Saint-Amand-sur-Fion,1024,17,1041
Saint-Bon,113,4,117
Saint-Brice-Courcelles,3522,51,3573
Saint-Chéron,60,3,63
Saint-Étienne-au-Temple,812,12,824
Saint-Étienne-sur-Suippe,316,4,320
Saint-Eulien,440,12,452
Saint-Euphraise-et-Clairizet,234,5,239
Saint-Germain-la-Ville,671,13,684
Saint-Gibrien,538,7,545
Saint-Gilles,293,4,297
Saint-Hilaire-au-Temple,342,6,348
Saint-Hilaire-le-Grand,363,4,367
Saint-Hilaire-le-Petit,339,7,346
Saint-Imoges,320,25,345
Saint-Jean-devant-Possesse,31,3,34
Saint-Jean-sur-Moivre,210,3,213
Saint-Jean-sur-Tourbe,92,3,95
Saint-Just-Sauvage,1461,39,1500
Saint-Léonard,106,3,109
Saint-Loup,87,1,88
Saint-Lumier-en-Champagne,263,5,268
Saint-Lumier-la-Populeuse,49,0,49
Saint-Mard-lès-Rouffy,163,7,170
Saint-Mard-sur-Auve,64,1,65
Saint-Mard-sur-le-Mont,118,0,118
Saint-Martin-aux-Champs,104,0,104
Saint-Martin-d'Ablois,1426,23,1449
Saint-Martin-l'Heureux,85,1,86
Saint-Martin-sur-le-Pré,797,32,829
Saint-Masmes,458,8,466
Saint-Memmie,5511,78,5589
Saint-Ouen-Domprot,205,6,211
Saint-Pierre,301,8,309
Saint-Quentin-le-Verger,121,2,123
Saint-Quentin-les-Marais,139,2,141
Saint-Quentin-sur-Coole,104,1,105
Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson,518,6,524
Saint-Remy-sous-Broyes,105,2,107
Saint-Remy-sur-Bussy,343,8,351
Saint-Saturnin,59,0,59
Saint-Souplet-sur-Py,125,4,129
Saint-Thierry,627,23,650
Saint-Thomas-en-Argonne,40,2,42
Saint-Utin,79,1,80
Saint-Vrain,233,2,235
Sainte-Gemme,139,3,142
Sainte-Marie-à-Py,198,5,203
Sainte-Marie-du-Lac-Nuisement,268,2,270
Sainte-Menehould,4120,114,4234
Sapignicourt,410,4,414
Sarcy,254,4,258
Saron-sur-Aube,304,6,310
Sarry,2046,86,2132
Saudoy,369,10,379
Savigny-sur-Ardres,270,4,274
Scrupt,132,0,132
Selles,405,1,406
Sept-Saulx,615,11,626
Sermaize-les-Bains,1906,35,1941
Sermiers,561,14,575
Servon-Melzicourt,108,1,109
Serzy-et-Prin,207,4,211
Sézanne,4834,108,4942
Sillery,1724,37,1761
Sivry-Ante,182,5,187
Sogny-aux-Moulins,111,2,113
Sogny-en-l'Angle,62,0,62
Soizy-aux-Bois,184,1,185
Somme-Bionne,80,8,88
Somme-Suippe,475,164,639
Somme-Tourbe,143,3,146
Somme-Vesle,430,245,675
Somme-Yèvre,117,3,120
Sommepy-Tahure,623,16,639
Sommesous,533,14,547
Sompuis,291,12,303
Somsois,196,6,202
Songy,263,4,267
Souain-Perthes-lès-Hurlus,238,5,243
Soudé,183,0,183
Soudron,301,5,306
Soulanges,470,9,479
Soulières,142,1,143
Suippes,3913,47,3960
Suizy-le-Franc,107,3,110
Taissy,2199,36,2235
Talus-Saint-Prix,108,4,112
Thaas,99,0,99
Thibie,291,2,293
Thiéblemont-Farémont,541,6,547
Thil,296,4,300
Thillois,449,68,517
Le Thoult-Trosnay,103,2,105
Tilloy-et-Bellay,219,10,229
Tinqueux,10030,139,10169
Togny-aux-Bœufs,137,2,139
Tours-sur-Marne,1382,14,1396
Tramery,151,3,154
Trécon,82,1,83
Tréfols,168,3,171
Trépail,431,5,436
Treslon,242,1,243
Trigny,543,9,552
Trois-Fontaines-l'Abbaye,198,5,203
Trois-Puits,153,2,155
Troissy,829,93,922
Unchair,166,4,170
Vadenay,241,6,247
Val de Livre,633,17,650
Val-de-Vesle,912,10,922
Val-de-Vière,129,2,131
Val-des-Marais,567,11,578
Valmy,294,5,299
Vanault-le-Châtel,178,1,179
Vanault-les-Dames,363,8,371
Vandeuil,196,3,199
Vandières,307,6,313
Vassimont-et-Chapelaine,61,1,62
Vatry,158,2,160
Vauchamps,360,10,370
Vauciennes,332,7,339
Vauclerc,494,21,515
Vaudemange,309,5,314
Vaudesincourt,92,1,93
Vavray-le-Grand,161,3,164
Vavray-le-Petit,66,3,69
Vélye,196,2,198
Ventelay,259,6,265
Venteuil,529,10,539
Verdon,209,2,211
Vernancourt,88,4,92
Verneuil,840,20,860
Verrières,402,6,408
Vert-Toulon,291,4,295
Verzenay,1052,8,1060
Verzy,974,23,997
Vésigneul-sur-Marne,237,3,240
La Veuve,614,11,625
Le Vézier,191,3,194
Le Vieil-Dampierre,115,3,118
Vienne-la-Ville,173,7,180
Vienne-le-Château,520,7,527
Ville-Dommange,401,8,409
Ville-en-Selve,279,46,325
Ville-en-Tardenois,657,6,663
La Ville-sous-Orbais,49,1,50
Ville-sur-Tourbe,219,1,220
Villeneuve-la-Lionne,285,3,288
La Villeneuve-lès-Charleville,113,1,114
Villeneuve-Renneville-Chevigny,316,6,322
Villeneuve-Saint-Vistre-et-Villevotte,123,5,128
Villers-Allerand,885,18,903
Villers-aux-Bois,326,5,331
Villers-aux-Nœuds,188,4,192
Villers-en-Argonne,232,6,238
Villers-Franqueux,297,16,313
Villers-le-Château,254,8,262
Villers-le-Sec,117,1,118
Villers-Marmery,524,11,535
Villers-sous-Châtillon,215,0,215
Villeseneux,221,5,226
Villevenard,215,2,217
Villiers-aux-Corneilles,109,4,113
Vinay,589,5,594
Vincelles,290,3,293
Vindey,116,2,118
Virginy,84,3,87
Vitry-en-Perthois,828,24,852
Vitry-la-Ville,377,9,386
Vitry-le-François,12133,283,12416
Voilemont,44,5,49
Vouarces,60,0,60
Vouillers,258,6,264
Vouzy,293,5,298
Vraux,460,8,468
Vrigny,232,0,232
Vroil,104,0,104
Wargemoulin-Hurlus,46,1,47
Warmeriville,2468,26,2494
Witry-lès-Reims,5020,55,5075
Œuilly,648,10,658
Ageville,309,8,317
Aigremont,20,0,20
Aillianville,165,2,167
Aingoulaincourt,13,0,13
Aizanville,34,4,38
Allichamps,347,4,351
Ambonville,82,2,84
Andelot-Blancheville,870,10,880
Andilly-en-Bassigny,108,1,109
Annéville-la-Prairie,86,0,86
Annonville,32,1,33
Anrosey,121,5,126
Aprey,187,6,193
Arbigny-sous-Varennes,89,0,89
Arbot,70,2,72
Arc-en-Barrois,743,13,756
Arnancourt,91,4,95
Attancourt,260,4,264
Aubepierre-sur-Aube,188,3,191
Auberive,169,5,174
Audeloncourt,87,2,89
Aujeurres,83,2,85
Aulnoy-sur-Aube,51,0,51
Autigny-le-Grand,149,2,151
Autigny-le-Petit,63,2,65
Autreville-sur-la-Renne,382,9,391
Avrecourt,114,4,118
Bailly-aux-Forges,143,5,148
Baissey,193,3,196
Bannes,374,3,377
Bassoncourt,67,0,67
Baudrecourt,92,0,92
Bay-sur-Aube,52,1,53
Bayard-sur-Marne,1322,27,1349
Beauchemin,104,1,105
Belmont,57,1,58
Bettancourt-la-Ferrée,1697,37,1734
Beurville,104,0,104
Biesles,1352,31,1383
Bize,92,1,93
Blaisy,75,1,76
Blécourt,112,2,114
Blessonville,196,6,202
Blumeray,109,7,116
Bologne,1899,38,1937
Bonnecourt,135,0,135
Bourbonne-les-Bains,2073,54,2127
Bourdons-sur-Rognon,285,2,287
Bourg,156,5,161
Bourg-Sainte-Marie,101,1,102
Bourmont-entre-Meuse-et-Mouzon,803,30,833
Bouzancourt,65,1,66
Brachay,61,3,64
Brainville-sur-Meuse,78,0,78
Braux-le-Châtel,145,1,146
Brennes,133,3,136
Brethenay,368,10,378
Breuvannes-en-Bassigny,678,20,698
Briaucourt,181,6,187
Bricon,449,14,463
Brousseval,694,9,703
Bugnières,153,5,158
Busson,39,0,39
Buxières-lès-Clefmont,26,2,28
Buxières-lès-Villiers,195,20,215
Ceffonds,635,16,651
Celles-en-Bassigny,83,1,84
Celsoy,105,1,106
Cerisières,83,7,90
Chalancey,105,2,107
Chalindrey,2407,41,2448
Chalvraines,187,2,189
Chamarandes-Choignes,1034,172,1206
Chambroncourt,49,1,50
Chamouilley,806,10,816
Champigneulles-en-Bassigny,44,1,45
Champigny-lès-Langres,426,13,439
Champigny-sous-Varennes,115,2,117
Champsevraine,734,16,750
Chancenay,1087,27,1114
Changey,304,11,315
Chanoy,127,2,129
Chantraines,222,5,227
Charmes,146,4,150
Charmes-en-l'Angle,10,0,10
Charmes-la-Grande,156,6,162
Chassigny,253,2,255
Châteauvillain,1584,17,1601
Le Châtelet-sur-Meuse,150,0,150
Chatenay-Mâcheron,105,2,107
Chatenay-Vaudin,52,2,54
Chatonrupt-Sommermont,298,6,304
Chaudenay,345,7,352
Chauffourt,204,4,208
Chaumont,21945,1227,23172
Chaumont-la-Ville,116,1,117
Chevillon,1313,20,1333
Chézeaux,72,0,72
Choilley-Dardenay,162,4,166
Choiseul,78,4,82
Cirey-lès-Mareilles,140,3,143
Cirey-sur-Blaise,119,1,120
Cirfontaines-en-Azois,186,1,187
Cirfontaines-en-Ornois,77,1,78
Clefmont,176,3,179
Clinchamp,77,3,80
Cohons,233,5,238
Coiffy-le-Bas,92,0,92
Coiffy-le-Haut,116,0,116
Colmier-le-Bas,22,0,22
Colmier-le-Haut,59,1,60
Colombey les Deux Églises,714,22,736
Condes,304,6,310
Consigny,69,1,70
Coublanc,117,5,122
Coupray,146,2,148
Cour-l'Évêque,159,2,161
Courcelles-en-Montagne,90,0,90
Courcelles-sur-Blaise,98,1,99
Culmont,539,10,549
Curel,412,6,418
Curmont,12,1,13
Cusey,282,4,286
Cuves,25,1,26
Daillancourt,67,2,69
Daillecourt,74,0,74
Dammartin-sur-Meuse,198,2,200
Dampierre,387,4,391
Damrémont,197,4,201
Dancevoir,189,9,198
Darmannes,260,3,263
Dinteville,56,3,59
Domblain,80,2,82
Dommarien,161,7,168
Dommartin-le-Franc,248,2,250
Dommartin-le-Saint-Père,276,7,283
Domremy-Landéville,78,4,82
Doncourt-sur-Meuse,39,1,40
Donjeux,386,4,390
Doulaincourt-Saucourt,816,44,860
Doulevant-le-Château,363,13,376
Doulevant-le-Petit,26,3,29
Échenay,92,2,94
Éclaron-Braucourt-Sainte-Livière,2019,44,2063
Ecot-la-Combe,37,1,38
Effincourt,61,5,66
Enfonvelle,68,1,69
Épizon,168,4,172
Esnouveaux,296,5,301
Euffigneix,302,13,315
Eurville-Bienville,2065,32,2097
Farincourt,39,0,39
Faverolles,101,4,105
Fayl-Billot,1323,123,1446
Fays,73,3,76
Ferrière-et-Lafolie,50,2,52
Flagey,83,3,86
Flammerécourt,69,0,69
Fontaines-sur-Marne,148,2,150
Forcey,64,4,68
Foulain,697,17,714
Frampas,161,4,165
Frécourt,96,3,99
Fresnes-sur-Apance,148,2,150
Froncles,1521,24,1545
Fronville,323,3,326
Genevrières,132,5,137
La Genevroye,32,1,33
Germaines,41,1,42
Germainvilliers,89,4,93
Germay,45,2,47
Germisay,18,0,18
Giey-sur-Aujon,130,1,131
Gillancourt,120,3,123
Gillaumé,37,0,37
Gilley,67,3,70
Graffigny-Chemin,232,6,238
Grandchamp,74,1,75
Grenant,148,2,150
Gudmont-Villiers,291,5,296
Guindrecourt-aux-Ormes,93,2,95
Guindrecourt-sur-Blaise,59,0,59
Guyonvelle,107,1,108
Hâcourt,39,0,39
Hallignicourt,285,3,288
Harréville-les-Chanteurs,292,10,302
Haute-Amance,956,15,971
Heuilley-le-Grand,209,7,216
Huilliécourt,118,1,119
Humbécourt,780,10,790
Humberville,67,5,72
Humes-Jorquenay,570,15,585
Illoud,220,9,229
Is-en-Bassigny,542,13,555
Isômes,150,6,156
Joinville,3069,68,3137
Jonchery,1014,35,1049
Juzennecourt,213,3,216
Lachapelle-en-Blaisy,81,3,84
Lafauche,77,4,81
Laferté-sur-Amance,107,1,108
Laferté-sur-Aube,331,2,333
Lamancine,124,3,127
Laneuvelle,65,2,67
Laneuville-à-Rémy,66,0,66
Laneuville-au-Pont,209,3,212
Langres,7731,415,8146
Lanques-sur-Rognon,186,2,188
Lanty-sur-Aube,121,2,123
Larivière-Arnoncourt,117,1,118
Latrecey-Ormoy-sur-Aube,295,9,304
Lavernoy,76,0,76
Laville-aux-Bois,205,9,214
Lavilleneuve,60,1,61
Lavilleneuve-au-Roi,78,0,78
Lecey,210,3,213
Leffonds,349,9,358
Leschères-sur-le-Blaiseron,101,0,101
Leuchey,85,1,86
Leurville,84,0,84
Levécourt,87,1,88
Lezéville,125,0,125
Liffol-le-Petit,320,8,328
Les Loges,137,6,143
Longchamp,71,0,71
Longeau-Percey,743,19,762
Louvemont,701,10,711
Louvières,97,0,97
Luzy-sur-Marne,258,10,268
Maâtz,75,0,75
Magneux,167,2,169
Maisoncelles,58,1,59
Maizières,198,3,201
Maizières-sur-Amance,98,1,99
Malaincourt-sur-Meuse,57,1,58
Mandres-la-Côte,538,5,543
Manois,451,9,460
Marac,214,4,218
Maranville,410,4,414
Marbéville,98,2,100
Marcilly-en-Bassigny,218,4,222
Mardor,47,3,50
Mareilles,155,1,156
Marnay-sur-Marne,325,1,326
Mathons,65,2,67
Melay,258,6,264
Mennouveaux,70,1,71
Merrey,100,3,103
Mertrud,177,7,184
Meures,131,4,135
Millières,114,5,119
Mirbel,42,0,42
Moëslains,425,12,437
Montcharvot,33,1,34
Montheries,65,2,67
Montot-sur-Rognon,131,2,133
Montreuil-sur-Blaise,165,2,167
Montreuil-sur-Thonnance,62,0,62
Le Montsaugeonnais,1265,26,1291
Morancourt,134,2,136
Morionvilliers,29,0,29
Mouilleron,35,2,37
Mussey-sur-Marne,372,6,378
Narcy,247,5,252
Neuilly-l'Évêque,591,19,610
Neuilly-sur-Suize,311,9,320
Neuvelle-lès-Voisey,72,0,72
Ninville,79,5,84
Nogent,3752,63,3815
Noidant-Chatenoy,82,0,82
Noidant-le-Rocheux,160,4,164
Nomécourt,110,4,114
Noncourt-sur-le-Rongeant,176,2,178
Noyers,83,0,83
Nully,161,4,165
Occey,157,3,160
Orbigny-au-Mont,133,4,137
Orbigny-au-Val,96,7,103
Orcevaux,99,3,102
Orges,354,3,357
Ormancey,79,1,80
Ormoy-lès-Sexfontaines,43,1,44
Orquevaux,80,0,80
Osne-le-Val,257,6,263
Oudincourt,143,2,145
Outremécourt,90,6,96
Ozières,39,1,40
Le Pailly,284,5,289
Palaiseul,59,0,59
Pansey,97,3,100
Parnoy-en-Bassigny,299,8,307
Paroy-sur-Saulx,47,2,49
Peigney,376,2,378
Perrancey-les-Vieux-Moulins,293,7,300
Perrogney-les-Fontaines,114,0,114
Perrusse,31,2,33
Perthes,526,4,530
Pierremont-sur-Amance,143,0,143
Pisseloup,51,0,51
Planrupt,304,6,310
Plesnoy,115,2,117
Poinsenot,52,0,52
Poinson-lès-Fayl,222,9,231
Poinson-lès-Grancey,45,0,45
Poinson-lès-Nogent,143,3,146
Poiseul,71,1,72
Poissons,667,15,682
Pont-la-Ville,120,8,128
La Porte du Der,2278,65,2343
Poulangy,386,12,398
Praslay,74,1,75
Pressigny,200,5,205
Prez-sous-Lafauche,296,7,303
Rachecourt-sur-Marne,779,11,790
Rachecourt-Suzémont,105,2,107
Rangecourt,64,1,65
Rançonnières,106,1,107
Rennepont,136,5,141
Reynel,119,2,121
Riaucourt,473,9,482
Richebourg,274,5,279
Rimaucourt,671,8,679
Rives Dervoises,1371,53,1424
Rivière-les-Fosses,199,4,203
Rivières-le-Bois,73,0,73
Rizaucourt-Buchey,125,1,126
Rochefort-sur-la-Côte,64,1,65
Roches-Bettaincourt,570,13,583
Roches-sur-Marne,557,3,560
Rochetaillée,167,2,169
Rolampont,1478,30,1508
Romain-sur-Meuse,104,2,106
Rouécourt,47,3,50
Rouelles,25,0,25
Rougeux,110,2,112
Rouvres-sur-Aube,96,1,97
Rouvroy-sur-Marne,384,7,391
Rupt,338,6,344
Sailly,33,0,33
Saint-Blin,381,10,391
Saint-Broingt-le-Bois,71,2,73
Saint-Broingt-les-Fosses,232,4,236
Saint-Ciergues,189,2,191
Saint-Dizier,24012,558,24570
Saint-Loup-sur-Aujon,142,4,146
Saint-Martin-lès-Langres,111,4,115
Saint-Maurice,135,1,136
Saint-Thiébault,238,7,245
Saint-Urbain-Maconcourt,643,11,654
Saint-Vallier-sur-Marne,176,3,179
Saints-Geosmes,1129,33,1162
Sarcey,113,1,114
Sarrey,376,10,386
Saudron,46,1,47
Saulles,46,1,47
Saulxures,128,0,128
Savigny,59,2,61
Semilly,108,4,112
Semoutiers-Montsaon,769,15,784
Serqueux,413,13,426
Sexfontaines,133,0,133
Signéville,89,1,90
Silvarouvres,39,0,39
Sommancourt,68,1,69
Sommerécourt,78,4,82
Sommevoire,693,19,712
Soncourt-sur-Marne,371,8,379
Soulaucourt-sur-Mouzon,98,2,100
Soyers,62,1,63
Suzannecourt,370,14,384
Ternat,63,0,63
Thilleux,76,3,79
Thivet,272,0,272
Thol-lès-Millières,34,1,35
Thonnance-lès-Joinville,717,21,738
Thonnance-les-Moulins,114,5,119
Torcenay,551,15,566
Tornay,32,0,32
Treix,230,6,236
Trémilly,86,2,88
Troisfontaines-la-Ville,429,9,438
Vaillant,42,1,43
Le Val-d'Esnoms,389,11,400
Val-de-Meuse,1861,54,1915
Valcourt,621,9,630
Valleret,61,0,61
Valleroy,23,0,23
Vals-des-Tilles,167,1,168
Varennes-sur-Amance,269,4,273
Vaudrecourt,35,0,35
Vaudrémont,102,3,105
Vaux-sur-Blaise,376,7,383
Vaux-sur-Saint-Urbain,57,2,59
Vauxbons,60,0,60
Vecqueville,529,15,544
Velles,66,1,67
Verbiesles,332,10,342
Verseilles-le-Bas,102,4,106
Verseilles-le-Haut,48,1,49
Vesaignes-sous-Lafauche,128,1,129
Vesaignes-sur-Marne,104,2,106
Vesvres-sous-Chalancey,47,0,47
Vicq,151,6,157
Viéville,338,10,348
Vignes-la-Côte,64,4,68
Vignory,243,2,245
Villars-en-Azois,66,1,67
Villars-Santenoge,84,1,85
Ville-en-Blaisois,151,1,152
Villegusien-le-Lac,1002,17,1019
Villiers-en-Lieu,1529,33,1562
Villiers-le-Sec,711,11,722
Villiers-lès-Aprey,45,0,45
Villiers-sur-Suize,263,2,265
Violot,67,2,69
Vitry-en-Montagne,23,0,23
Vitry-lès-Nogent,186,4,190
Vivey,55,1,56
Voillecomte,532,10,542
Voisey,288,2,290
Voisines,101,2,103
Voncourt,16,0,16
Vouécourt,207,1,208
Vraincourt,92,2,94
Vroncourt-la-Côte,25,0,25
Wassy,2905,126,3031
Ahuillé,1806,35,1841
Alexain,601,9,610
Ambrières-les-Vallées,2739,70,2809
Andouillé,2300,49,2349
Argentré,2814,94,2908
Aron,1803,49,1852
Arquenay,638,17,655
Assé-le-Bérenger,450,13,463
Astillé,870,14,884
Athée,495,20,515
Averton,585,16,601
La Baconnière,1923,44,1967
Bais,1239,21,1260
Ballots,1281,31,1312
Bannes,120,3,123
La Bazoge-Montpinçon,1015,27,1042
La Bazouge-de-Chemeré,516,10,526
La Bazouge-des-Alleux,544,6,550
Bazougers,1106,13,1119
Beaulieu-sur-Oudon,519,9,528
Beaumont-Pied-de-Bœuf,190,3,193
Belgeard,616,8,624
Bierné-les-Villages,1249,28,1277
Le Bignon-du-Maine,336,8,344
La Bigottière,498,2,500
Blandouet-Saint Jean,605,19,624
La Boissière,117,5,122
Bonchamp-lès-Laval,6037,193,6230
Bouchamps-lès-Craon,564,9,573
Bouère,1090,20,1110
Bouessay,736,19,755
Boulay-les-Ifs,156,3,159
Le Bourgneuf-la-Forêt,1778,37,1815
Bourgon,640,10,650
Brains-sur-les-Marches,269,5,274
Brecé,824,13,837
Brée,535,6,541
La Brûlatte,697,18,715
Le Buret,309,3,312
Carelles,267,4,271
Chailland,1171,34,1205
Châlons-du-Maine,708,8,716
Champéon,585,6,591
Champfrémont,309,7,316
Champgenéteux,515,20,535
Changé,6020,191,6211
Chantrigné,618,21,639
La Chapelle-Anthenaise,1014,14,1028
La Chapelle-au-Riboul,501,10,511
La Chapelle-Craonnaise,352,8,360
La Chapelle-Rainsouin,412,6,418
Charchigné,481,6,487
Château-Gontier-sur-Mayenne,16776,648,17424
Châtelain,469,13,482
Châtillon-sur-Colmont,1024,25,1049
Chemazé,1361,32,1393
Chémeré-le-Roi,402,11,413
Chérancé,164,2,166
Chevaigné-du-Maine,173,7,180
Colombiers-du-Plessis,485,18,503
Commer,1201,26,1227
Congrier,896,25,921
Contest,840,33,873
Cosmes,282,7,289
Cossé-en-Champagne,323,10,333
Cossé-le-Vivien,3134,75,3209
Coudray,855,16,871
Couesmes-Vaucé,370,12,382
Couptrain,131,2,133
Courbeveille,640,5,645
Courcité,906,21,927
Craon,4507,178,4685
Crennes-sur-Fraubée,193,2,195
La Croixille,688,16,704
La Cropte,211,4,215
Cuillé,871,30,901
Daon,502,5,507
Denazé,162,5,167
Désertines,466,14,480
La Dorée,282,5,287
Entrammes,2256,42,2298
Ernée,5731,98,5829
Évron,8671,232,8903
Fontaine-Couverte,441,6,447
Forcé,1099,32,1131
Fougerolles-du-Plessis,1205,15,1220
Fromentières,831,11,842
Gastines,166,2,168
Le Genest-Saint-Isle,2135,57,2192
Gennes-Longuefuye,1327,24,1351
Gesnes,228,5,233
Gesvres,519,11,530
Gorron,2560,55,2615
La Gravelle,546,6,552
Grazay,615,18,633
Grez-en-Bouère,1011,19,1030
La Haie-Traversaine,472,13,485
Le Ham,395,8,403
Hambers,609,14,623
Hardanges,203,1,204
Hercé,312,12,324
Le Horps,744,20,764
Houssay,491,5,496
Le Housseau-Brétignolles,247,1,248
L' Huisserie,4244,153,4397
Izé,458,9,467
Javron-les-Chapelles,1378,29,1407
Jublains,734,16,750
Juvigné,1456,14,1470
Landivy,1149,22,1171
Larchamp,1110,17,1127
Lassay-les-Châteaux,2253,62,2315
Laubrières,356,4,360
Launay-Villiers,385,5,390
Laval,49728,2556,52284
Lesbois,194,2,196
Levaré,289,11,300
Lignières-Orgères,742,16,758
Livet,158,1,159
Livré-la-Touche,745,20,765
Loiron-Ruillé,2667,61,2728
Loupfougères,408,6,414
Louverné,4302,94,4396
Louvigné,1146,21,1167
Madré,293,6,299
Maisoncelles-du-Maine,517,10,527
Marcillé-la-Ville,798,24,822
Marigné-Peuton,548,14,562
Martigné-sur-Mayenne,1853,28,1881
Mayenne,12841,710,13551
Mée,226,1,227
Ménil,939,29,968
Méral,1098,15,1113
Meslay-du-Maine,2875,70,2945
Mézangers,657,13,670
Montaudin,908,15,923
Montenay,1361,24,1385
Montflours,253,8,261
Montigné-le-Brillant,1277,51,1328
Montjean,1036,20,1056
Montreuil-Poulay,371,11,382
Montsûrs,3227,61,3288
Moulay,963,17,980
Neau,774,3,777
Neuilly-le-Vendin,346,8,354
Niafles,350,7,357
Nuillé-sur-Vicoin,1210,26,1236
Oisseau,1184,25,1209
Olivet,417,10,427
Origné,423,5,428
La Pallu,193,6,199
Parigné-sur-Braye,847,18,865
Parné-sur-Roc,1348,29,1377
Le Pas,548,11,559
La Pellerine,340,5,345
Peuton,227,10,237
Placé,340,8,348
Pommerieux,652,28,680
Pontmain,825,13,838
Port-Brillet,1801,28,1829
Pré-en-Pail-Saint-Samson,2331,78,2409
Préaux,166,7,173
Prée-d'Anjou,1421,45,1466
Quelaines-Saint-Gault,2157,65,2222
Ravigny,233,12,245
Renazé,2541,33,2574
Rennes-en-Grenouilles,107,2,109
Le Ribay,460,10,470
La Roche-Neuville,1167,38,1205
La Roë,245,2,247
La Rouaudière,328,4,332
Ruillé-Froid-Fonds,569,12,581
Sacé,499,8,507
Saint-Aignan-de-Couptrain,374,10,384
Saint-Aignan-sur-Roë,894,24,918
Saint-Aubin-du-Désert,240,7,247
Saint-Aubin-Fosse-Louvain,217,6,223
Saint-Baudelle,1119,43,1162
Saint-Berthevin,7344,241,7585
Saint-Berthevin-la-Tannière,332,3,335
Saint-Brice,528,13,541
Saint-Calais-du-Désert,387,7,394
Saint-Charles-la-Forêt,203,10,213
Saint-Cyr-en-Pail,490,17,507
Saint-Cyr-le-Gravelais,544,14,558
Saint-Denis-d'Anjou,1558,29,1587
Saint-Denis-de-Gastines,1509,35,1544
Saint-Denis-du-Maine,428,9,437
Saint-Ellier-du-Maine,510,8,518
Saint-Erblon,172,4,176
Saint-Fraimbault-de-Prières,1001,26,1027
Saint-Georges-Buttavent,1443,39,1482
Saint-Georges-le-Fléchard,418,12,430
Saint-Georges-sur-Erve,385,10,395
Saint-Germain-d'Anxure,388,9,397
Saint-Germain-de-Coulamer,348,11,359
Saint-Germain-le-Fouilloux,1166,31,1197
Saint-Germain-le-Guillaume,495,10,505
Saint-Hilaire-du-Maine,863,24,887
Saint-Jean-sur-Mayenne,1653,49,1702
Saint-Julien-du-Terroux,235,9,244
Saint-Léger,308,3,311
Saint-Loup-du-Dorat,364,2,366
Saint-Loup-du-Gast,365,13,378
Saint-Mars-du-Désert,166,1,167
Saint-Mars-sur-Colmont,469,13,482
Saint-Mars-sur-la-Futaie,538,10,548
Saint-Martin-de-Connée,421,8,429
Saint-Martin-du-Limet,444,6,450
Saint-Michel-de-la-Roë,265,9,274
Saint-Ouën-des-Toits,1749,35,1784
Saint-Pierre-des-Landes,928,27,955
Saint-Pierre-des-Nids,1990,27,2017
Saint-Pierre-la-Cour,2170,43,2213
Saint-Pierre-sur-Erve,142,1,143
Saint-Pierre-sur-Orthe,463,10,473
Saint-Poix,405,6,411
Saint-Quentin-les-Anges,435,7,442
Saint-Saturnin-du-Limet,508,13,521
Saint-Thomas-de-Courceriers,185,4,189
Sainte-Gemmes-le-Robert,851,27,878
Sainte-Marie-du-Bois,217,4,221
Sainte-Suzanne-et-Chammes,1280,31,1311
Saulges,318,4,322
La Selle-Craonnaise,941,29,970
Senonnes,357,8,365
Simplé,452,4,456
Soucé,164,3,167
Soulgé-sur-Ouette,1084,31,1115
Thorigné-en-Charnie,195,3,198
Thubœuf,289,8,297
Torcé-Viviers-en-Charnie,756,15,771
Trans,232,4,236
Vaiges,1167,13,1180
Val-du-Maine,929,28,957
Vautorte,599,5,604
Vieuvy,118,8,126
Villaines-la-Juhel,2808,43,2851
Villepail,177,1,178
Villiers-Charlemagne,1122,23,1145
Vimarcé,237,1,238
Voutré,910,14,924
Abaucourt,299,4,303
Abbéville-lès-Conflans,226,4,230
Aboncourt,103,2,105
Affléville,179,2,181
Affracourt,110,1,111
Agincourt,438,7,445
Aingeray,543,4,547
